epoch,q99_norm,AUROC,AUPR
0,0.31370133653283117,0.6016666666666667,0.6643700240154412
1,0.3098199012875557,0.5483333333333333,0.5920333926447099
2,0.3393381993472576,0.43166666666666664,0.48907476557400803
3,0.36958574458956717,0.1683333333333333,0.3652632359329341
4,0.38149166211485863,0.15,0.35165209582944956
5,0.36874399974942207,0.175,0.365846100374407
6,0.3592410509288311,0.32833333333333337,0.4241752969709316
7,0.3394066222012043,0.3716666666666667,0.4654828739687961
8,0.3346416446566582,0.40166666666666667,0.5115456988658728
9,0.34674780055880544,0.3616666666666667,0.45589301446859043
10,0.3530270245671272,0.22499999999999998,0.4056630467162146
11,0.3523875558376312,0.235,0.4095144593324201
12,0.3409133031964302,0.29500000000000004,0.43864734533053207
13,0.34998187482357024,0.31833333333333336,0.44558359799350883
14,0.35713992044329645,0.20999999999999996,0.4023390997252892
15,0.3577551577985287,0.19333333333333333,0.4064939548317948
16,0.36412280961871146,0.23166666666666666,0.4099005493820063
17,0.3394956013560295,0.33166666666666667,0.46440480955810753
18,0.3384152536094189,0.33999999999999997,0.46427392521195926
19,0.3437169161438942,0.24499999999999997,0.44780630016691464
20,0.357162913531065,0.33166666666666667,0.44290576701033674
21,0.3370038139820099,0.21666666666666667,0.40226155852184214
22,0.33984496876597403,0.26166666666666666,0.4175649018313136
23,0.329668001383543,0.33666666666666667,0.44415185920442274
24,0.3358286146819591,0.2733333333333334,0.42157148997588173
25,0.3334284865856171,0.32333333333333336,0.4388082168626315
26,0.33374373748898506,0.35,0.4523184830663958
27,0.3351444335281849,0.34500000000000003,0.4510400059823108
28,0.34578369453549385,0.2583333333333333,0.4151505060431472
29,0.332356448918581,0.22000000000000003,0.4054622106892996
30,0.36188489839434623,0.20833333333333334,0.4154602980138236
31,0.3466736875474453,0.18,0.39629248962955016
32,0.3424739679694176,0.3033333333333334,0.4667758830823486
33,0.3508397263288498,0.26666666666666666,0.4221453713720194
34,0.3521618191897869,0.24666666666666665,0.41625700415705097
35,0.34308259814977643,0.26666666666666666,0.43300707103790254
36,0.3340780319273472,0.31166666666666665,0.4430146806118423
37,0.3303977009654045,0.31000000000000005,0.447512929222656
38,0.3429977761209011,0.24999999999999994,0.43128839695724797
39,0.34493341356515883,0.37333333333333335,0.4614656420355692
40,0.3335223230719566,0.33166666666666667,0.47876261241735246
41,0.3305162835121155,0.285,0.446749705698143
42,0.3324426794052124,0.33666666666666667,0.45379763092343195
43,0.3409126569330692,0.265,0.4160757634958364
44,0.3302458834648132,0.2783333333333334,0.4380352674398164
45,0.33141968339681627,0.24166666666666664,0.4149987384905666
46,0.33174248978495596,0.25666666666666665,0.4135356648198583
47,0.33790443956851957,0.22166666666666662,0.40416419684506594
48,0.34081899479031563,0.2016666666666667,0.4042930463078755
49,0.33933008342981336,0.27,0.4374467640692311
50,0.3403726476430893,0.2666666666666667,0.42310308201647717
51,0.3376606152951717,0.26166666666666666,0.422208101333314
52,0.3418625022470951,0.23166666666666666,0.4131591946706044
53,0.36164119750261303,0.2633333333333333,0.42230578489100473
