epoch,q99_norm,AUROC,AUPR
0,0.47612194895744325,0.29333333333333333,0.4186655948840752
1,0.4714254692196846,0.22333333333333333,0.37589424875207855
2,0.4685333532094955,0.28,0.4406838895402564
3,0.47318424344062804,0.27,0.42196666199677185
4,0.4699834322929382,0.235,0.4478660385016606
5,0.4773084795475006,0.26,0.4221248209085186
6,0.4752007833123207,0.26,0.45545161306797605
7,0.47591198205947877,0.25166666666666665,0.42728543827751203
8,0.4744547802209854,0.22333333333333333,0.4145080453255435
9,0.4848653009533882,0.27,0.40961164799689365
10,0.47712686598300935,0.2733333333333333,0.42723758627911557
11,0.4809787204861641,0.29833333333333334,0.4321509297987192
12,0.4826498454809189,0.3116666666666667,0.4454092853147914
13,0.48220471560955047,0.24,0.41342325213646924
14,0.47865000784397127,0.31833333333333336,0.4568423063216562
15,0.4819377386569977,0.265,0.430922352345167
16,0.4842676657438278,0.25166666666666665,0.425930286584556
17,0.4850176754593849,0.21666666666666667,0.39126644405334543
18,0.48517719805240633,0.35,0.4445486419519671
19,0.4828863528370857,0.22833333333333333,0.38649008069243196
20,0.4826237016916275,0.26833333333333337,0.4327718891400298
21,0.48487590670585634,0.2366666666666667,0.3934342545890328
22,0.48541720390319826,0.17333333333333334,0.3677824679560566
23,0.4859757786989212,0.16166666666666668,0.373764684848914
24,0.48252376794815066,0.21,0.4098076592555513
25,0.48298807322978976,0.1983333333333333,0.37990221302397076
26,0.48651046931743624,0.20833333333333331,0.3921660182239616
27,0.48612554103136063,0.2316666666666667,0.39885575821541497
28,0.48765745043754577,0.20333333333333334,0.38663738041545825
29,0.48580175787210467,0.2733333333333333,0.4200314686419635
30,0.4830703493952751,0.18333333333333335,0.38350695407632385
31,0.4880657935142517,0.29333333333333333,0.4555605620886399
32,0.48135422497987745,0.175,0.3922496257127948
33,0.48567295372486113,0.20833333333333334,0.4276526073524119
34,0.4862686806917191,0.23166666666666666,0.39991241413014716
35,0.4866428035497665,0.2316666666666667,0.401705738755798
36,0.48662770837545394,0.18833333333333335,0.38067291632915684
37,0.48680746406316755,0.30833333333333335,0.4770956785313007
38,0.48575214862823485,0.19666666666666666,0.40357040833811464
39,0.48619615435600283,0.19333333333333336,0.38573970412660546
40,0.4860385167598724,0.2416666666666667,0.4264123039999793
41,0.48635019063949586,0.21666666666666667,0.4022274384745316
42,0.48438018262386323,0.16,0.39895416446497883
43,0.48026393055915834,0.23500000000000001,0.422074001202079
44,0.4818641221523285,0.23166666666666666,0.4030293426614453
45,0.4875359857082367,0.24,0.4077369870455353
46,0.4815462645888329,0.27499999999999997,0.45330026424593134
47,0.4861206668615341,0.24833333333333335,0.40950800856529973
48,0.4835011413693428,0.24666666666666665,0.42294559209171384
49,0.4865276864171028,0.3166666666666667,0.4297654103003206
50,0.4826627463102341,0.23666666666666666,0.4254109742559518
51,0.486848953962326,0.24833333333333335,0.4276748295746341
52,0.48277631908655166,0.2383333333333333,0.41285009329216704
53,0.4848123079538345,0.265,0.40564710070646925
54,0.4851579776406288,0.17333333333333334,0.37486670463441096
55,0.48272318780422213,0.295,0.4444476478661458
56,0.4841823294758797,0.285,0.4323637329204485
57,0.483000371158123,0.2916666666666667,0.4886018743284682
58,0.48582501500844955,0.25333333333333335,0.4269418492581624
59,0.48619129925966265,0.21333333333333332,0.39819213760361266
60,0.48298748761415483,0.30333333333333334,0.4926879548476116
61,0.4863810947537422,0.25833333333333336,0.43325233030785176
62,0.48637319684028624,0.2866666666666666,0.44036068706523546
63,0.48707393676042554,0.18666666666666668,0.3825844148671117
64,0.48823663115501403,0.24499999999999997,0.42127652660095327
65,0.48400539308786394,0.22666666666666666,0.43022623881953403
66,0.4865387952327728,0.23666666666666666,0.3981971811525036
67,0.48411637902259824,0.2683333333333333,0.44461539953145024
68,0.48722492545843127,0.225,0.41838281722169535
69,0.48441053986549376,0.28,0.4510329970289238
70,0.48614857882261275,0.30666666666666664,0.45225196151892794
71,0.4856565150618553,0.285,0.43772608909741983
72,0.48554693043231967,0.23333333333333334,0.46240948772693935
73,0.48561365097761156,0.30000000000000004,0.45006696118327433
74,0.4851960542798042,0.255,0.4258005730874167
75,0.48183324813842776,0.24333333333333335,0.43178497746650796
76,0.48711190581321717,0.33,0.47473878095726124
77,0.48685484379529953,0.27,0.42664796905008784
78,0.48747520476579664,0.2866666666666667,0.44954695356976826
79,0.4854407516121864,0.30166666666666664,0.473288715577663
80,0.4868561124801636,0.32,0.4698061011268735
81,0.48632046788930894,0.3,0.4747553528980317
82,0.485161215364933,0.265,0.4552823448192462
83,0.4853890424966812,0.32666666666666666,0.46992140386124637
84,0.49999850332736967,0.3283333333333333,0.5360756768328568
85,0.5000002980232239,0.38,0.47521555555033207
86,0.49999996840953825,0.4966666666666667,0.6306667739871631
87,0.500000256896019,0.5950000000000001,0.6639439578187685
88,0.5000004768371582,0.4025,0.5147562842716786
89,0.500000536441803,0.4458333333333333,0.540901205016992
90,0.500000536441803,0.45416666666666666,0.5485158699750647
91,0.4999996519088745,0.6608333333333333,0.7605227614475254
92,0.5000006556510925,0.45999999999999996,0.5621404218854149
93,0.5000006055831909,0.495,0.6286470055905498
94,0.5000005960464478,0.4291666666666667,0.5198310902286197
95,0.5000004082918167,0.5683333333333334,0.6718630212672029
96,0.5000005960464478,0.4425,0.5291913992636614
97,0.5000005000829697,0.5466666666666666,0.6454439995261345
98,0.5000005960464478,0.4175,0.5143851080005343
99,0.5000005048513413,0.5291666666666666,0.6306232931864804
100,0.5000005960464478,0.38249999999999995,0.47775843424062014
101,0.5000008344650269,0.5316666666666667,0.5553267353042726
102,0.5000008344650269,0.3916666666666667,0.4752184207698264
103,0.5000008940696716,0.3483333333333334,0.4525547326303558
104,0.5000008940696716,0.3841666666666667,0.48651932966342504
105,0.5000008940696716,0.47500000000000003,0.5932238564008163
106,0.5000007110834122,0.52,0.6331359493280193
107,0.5000006556510925,0.2775,0.4079910402969552
108,0.5000007152557373,0.3808333333333333,0.4750312308584068
109,0.5000007748603821,0.3383333333333334,0.44719767873708327
110,0.5000007748603821,0.40916666666666673,0.5069688917775438
111,0.5000008940696716,0.5133333333333333,0.5877468996193573
112,0.5000008344650269,0.4341666666666667,0.5034387549442206
113,0.5000008940696716,0.4591666666666667,0.5180746847902769
114,0.500001072883606,0.42000000000000004,0.4967300548985988
115,0.5000008940696716,0.5008333333333334,0.5837656482459135
116,0.5000014305114746,0.4608333333333334,0.5106375300915181
117,0.5000012516975403,0.5191666666666667,0.5639406885006641
118,0.5000013113021851,0.39666666666666667,0.46179444665003266
119,0.5000012516975403,0.5075,0.5446787917209681
